avatar_subtle,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,z1,z2,human_annotation,subtle_super_clusters,subtle_sub_clusters,Corrlation,moving,moving2,cca,ccf
20,8.8824,8.3972,0.8122,8.655,7.5585,1.4815,4.2863,4.0993,0.47744,7.3719,5.2303,0.71607,4.62,3.0617,0.28135,4.2442,5.9767,0.56123,13.877,6.875,0.15186,7.5533,7.6817,-1,0.43214,1.3096,-0.081419,4.3958983,1.0063848,walking,0,77,na,False,False,,
21,8.8824,8.3263,0.91901,8.6688,7.4692,1.497,4.2863,4.1016,0.47744,7.3719,5.2303,0.72231,4.62,3.0617,0.27113,4.2442,5.9767,0.56123,13.877,6.875,0.28409,7.5533,7.6817,-0.23697,0.43214,1.3075,-0.082757,4.39461,1.0319825,walking,0,77,na,False,False,,
22,8.8824,8.3076,0.99084,8.6884,7.4478,1.5019,4.2863,4.1038,0.47744,7.3708,5.2154,0.72852,4.62,3.0617,0.25678,4.2442,5.9767,0.56123,13.877,6.875,0.42549,7.5533,7.6817,0.5338,0.43214,1.3075,-0.084557,4.3292,0.9914345,walking,0,77,na,False,False,,
23,8.8286,8.2902,1.0859,8.708,7.4263,1.506,4.2863,4.1051,0.47744,7.3056,5.1913,0.73073,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.43744,7.5533,7.6908,0.54144,0.43214,1.3075,-0.087034,-1.954555,-0.7356652,walking,0,55,na,False,False,,
24,8.6804,8.2692,1.2084,8.7299,7.4064,1.506,4.2863,4.1066,0.47744,7.2167,5.1807,0.73734,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.44015,7.5533,7.7,0.54436,0.43214,1.3075,-0.092911,-2.0630789,-1.2675712,walking,0,43,na,False,False,,
25,8.4864,8.2692,1.3286,8.7299,7.4001,1.5114,4.2863,4.1066,0.47744,7.1444,5.1807,0.74435,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.44385,7.5533,7.7,0.54436,0.43214,1.3075,-0.092911,4.145677,0.74585456,walking,0,77,na,False,False,,
26,8.341,8.2692,1.3286,8.7504,7.3869,1.5114,4.2863,4.1093,0.47806,7.0953,5.1807,0.74435,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.44657,7.5533,7.7,0.54436,0.43214,1.3075,-0.092911,3.661711,0.64500964,walking,4,67,na,False,False,,
27,8.284,8.1933,1.3286,8.7576,7.3604,1.5114,4.2863,4.1124,0.47902,7.0897,5.1807,0.75454,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.4488,7.5533,7.7,0.54436,0.43214,1.3075,-0.092911,1.543331,-0.49230188,walking,4,16,na,False,False,,
28,8.2718,8.0836,1.3286,8.7576,7.3096,1.5114,4.2863,4.1133,0.48006,7.0839,5.154,0.76337,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.45301,7.5533,7.7,0.5511,0.43214,1.3075,-0.092911,1.5279325,-0.1810698,walking,4,16,na,False,False,,
29,8.2718,8.0221,1.3286,8.7576,7.2355,1.5114,4.2863,4.1141,0.48142,7.0826,5.0987,0.76409,4.62,3.0617,0.25143,4.235,5.9767,0.56186,13.877,6.875,0.45918,7.5533,7.7,0.5511,0.42148,1.3075,-0.092911,1.4177054,-0.18918909,walking,4,16,na,False,False,,
30,8.2708,8.0199,1.3286,8.7504,7.154,1.506,4.2863,4.1146,0.48208,7.0791,5.0987,0.76676,4.62,3.0617,0.25143,4.235,5.9767,0.56186,13.877,6.875,0.46191,7.5533,7.7,0.55764,0.41081,1.3075,-0.092911,1.8150426,-0.5968799,walking,4,16,na,False,False,,
31,8.2708,8.0199,1.3286,8.7213,7.0468,1.5019,4.2853,4.1161,0.48208,7.0695,5.0983,0.76676,4.62,3.0617,0.25143,4.235,5.9767,0.56186,13.877,6.875,0.4673,7.5533,7.7,0.55764,0.41081,1.3075,-0.092911,1.6420902,-1.0059853,walking,4,28,na,False,False,,
32,8.2708,8.0199,1.3286,8.6631,6.8853,1.497,4.2826,4.1161,0.48208,7.062,5.0983,0.76676,4.62,3.0617,0.25143,4.235,5.9767,0.56123,13.877,6.875,0.47509,7.5442,7.7,0.56028,0.41043,1.3075,-0.092911,1.4928737,-0.7317372,walking,4,16,na,False,False,,
33,8.2708,8.0007,1.3286,8.6231,6.7111,1.4611,4.2806,4.1161,0.48208,7.0605,5.0983,0.76676,4.62,3.0617,0.25143,4.235,5.9767,0.56123,13.877,6.875,0.47816,7.535,7.7,0.56323,0.40333,1.3075,-0.092911,1.2740804,-0.80906415,walking,4,16,na,False,False,,
34,8.2708,7.8073,1.3286,8.5956,6.4923,1.4038,4.2764,4.1199,0.48208,7.0592,5.0983,0.77184,4.62,3.0617,0.25143,4.235,5.9767,0.56123,13.877,6.875,0.47888,7.535,7.7,0.56622,0.38629,1.3075,-0.092911,1.0094246,-1.2385731,walking,4,28,na,False,False,,
35,8.2708,7.3288,1.3286,8.5707,6.008,1.3824,4.2563,4.1239,0.48269,7.0577,5.028,0.77671,4.6108,3.0617,0.25143,4.235,5.9767,0.55996,13.877,6.875,0.47888,7.535,7.7,0.56883,0.35608,1.3075,-0.085234,0.88763696,-2.6128833,walking,3,52,na,False,False,,
36,8.2708,6.9446,1.3286,8.5622,5.6108,1.3484,4.1969,4.1257,0.48429,7.0572,4.8547,0.77901,4.6017,3.0617,0.25143,4.235,5.9767,0.54914,13.877,6.875,0.47888,7.535,7.7,0.57142,0.28781,1.3075,-0.076398,0.6364262,-2.8508947,walking,3,52,na,False,False,,
37,8.2708,6.7468,1.3286,8.4993,5.4705,1.3117,4.1482,4.1295,0.49387,7.0415,4.7561,0.7813,4.6017,3.0617,0.25143,4.235,5.9767,0.54817,13.877,6.875,0.47888,7.535,7.7,0.5731,0.2245,1.3112,-0.068031,0.5519204,-2.9088545,walking,3,39,na,True,False,,
38,8.2708,6.6906,1.1414,8.4318,5.3245,1.2709,4.0222,4.1368,0.50248,7.0021,4.636,0.78397,4.565,3.0433,0.25685,4.2167,5.9767,0.53701,13.877,6.875,0.47936,7.535,7.7,0.57142,0.11358,1.3164,-0.065227,0.3286422,-2.8163884,walking,3,39,na,True,False,,
39,8.2708,6.3743,0.99084,8.4318,5.1507,1.2301,3.7508,4.1443,0.50433,6.8949,4.3822,0.78539,4.5192,3.025,0.26393,4.1892,5.9767,0.52136,11.192,6.875,0.47936,7.535,7.7,0.5731,-0.27462,1.509,-0.065227,0.47841832,-2.8313181,walking,3,39,na,False,False,,
40,8.2708,5.7981,0.88677,8.4318,4.9305,1.186,3.5984,4.1504,0.50631,6.7984,4.2144,0.79295,4.4917,3.025,0.26831,4.1708,5.9767,0.50635,8.5067,6.8658,0.47936,7.535,7.7,0.57564,-0.70677,1.8554,-0.065227,0.4596888,-2.8015535,walking,3,39,na,False,False,,
41,8.2708,5.3317,0.7631,8.3814,4.5616,1.1247,3.5972,4.1504,0.50631,6.7235,4.1761,0.80882,4.4733,3.025,0.26831,4.1617,5.9767,0.50547,8.4883,6.4808,0.47936,7.5258,7.6725,0.57738,-0.98004,2.0107,-0.065227,0.3871088,-2.923124,walking,3,39,na,False,False,,
42,8.2708,4.8129,0.71124,8.2501,4.2377,1.1031,3.5972,4.1504,0.50631,6.557,3.9993,0.82235,4.4642,3.025,0.26831,4.1617,5.9767,0.50392,8.0392,6.105,0.47936,7.5258,7.0308,0.58088,-1.1134,2.0386,-0.065227,0.38274142,-2.8758218,walking,3,39,na,False,False,,
43,8.2708,4.4704,0.67127,8.2501,4.1262,1.0966,3.5887,4.1504,0.50631,6.4094,3.8465,0.83658,4.4458,3.025,0.26861,4.1617,5.9767,0.50324,7.5992,6.0317,0.48138,7.535,6.4075,0.58447,-1.1379,2.1096,-0.065227,0.8716949,-2.6566904,walking,3,52,na,False,False,,
44,8.2708,3.9487,0.62563,8.2501,3.811,1.0932,3.5887,4.154,0.50631,6.3024,3.8265,0.85089,4.4367,3.025,0.26861,4.1617,5.9767,0.50236,7.5167,5.1608,0.48713,7.5533,6.38,0.58844,-1.2896,2.2761,-0.065227,1.8091393,1.9001318,walking,4,6,na,False,False,,
45,8.2708,3.3282,0.62563,8.2501,3.464,1.0649,3.5887,4.1666,0.50653,6.2303,3.7814,0.85089,4.4367,3.0158,0.26861,4.1617,5.9767,0.50081,7.425,4.3083,0.48713,7.5625,6.3617,0.59679,-1.4166,2.4544,-0.065227,1.9208094,1.8285303,walking,4,6,na,False,False,,
46,8.1857,3.02,0.6046,8.152,3.3728,1.0301,3.5887,4.1957,0.50683,6.2138,3.7084,0.85089,4.4275,3.0067,0.26861,4.1617,5.9767,0.49946,7.4067,4.2533,0.48713,7.5717,6.3342,0.60843,-1.4166,2.5091,-0.065227,1.7646172,1.7259017,walking,4,6,na,False,False,,
47,7.958,2.6623,0.57386,8.042,3.2759,1.0138,3.5887,4.2154,0.50913,6.2138,3.6531,0.85089,4.4275,3.0067,0.27145,4.1617,5.9767,0.49879,7.3425,4.2533,0.48138,7.5717,6.2883,0.61943,-1.4166,2.5091,-0.065227,1.7679985,1.5651278,walking,4,6,na,False,False,,
48,7.7762,2.4417,0.5418,7.7931,3.1444,1.0004,3.5887,4.2242,0.51126,6.2138,3.5222,0.85089,4.4275,3.0067,0.27207,4.1617,5.9767,0.49305,7.1867,4.2442,0.48713,7.5625,5.8208,0.62554,-1.4166,2.5091,-0.065227,1.7698615,1.1358027,walking,4,42,na,False,False,,
